航班,状态,出发地,预计起飞,实际起飞,航站楼,登机口
MU2993,未起飞,['赣州'],22:40,待定,T2,29
FM9424,未起飞,['重庆'],22:40,待定,T2,27
MU5220,未起飞,['珠海'],22:45,待定,T2,29
FM9186,未起飞,['沈阳'],22:45,待定,T2,27
MU5664,未起飞,['厦门'],22:50,待定,T2,28
MU5316,取消,['广州'],22:50,待定,T2,28
FM9102,未起飞,"['北京', '首都机场']",22:50,待定,T2,31
FM9380,未起飞,['深圳'],22:55,待定,T2,30
MU5580,未起飞,['福州'],23:05,待定,T2,29
FM9364,未起飞,['武汉'],23:10,待定,T2,29
MU5960,未起飞,['昆明'],23:15,待定,T2,30
FM9522,未起飞,['三亚'],23:15,待定,T2,27
MU5813,未起飞,['昆明'],23:15,待定,T2,30
MU5960,未起飞,['临沧'],23:15,待定,T2,30
MU5210,未起飞,['揭阳'],23:20,待定,T2,30
MU5128,未起飞,"['北京', '首都机场']",23:20,待定,T2,31
MU5634,未起飞,['乌鲁木齐'],23:25,待定,T2,29
MU5634,未起飞,['喀什'],23:25,待定,T2,29
FM9396,未起飞,['长沙'],23:30,待定,T2,27
MU5144,未起飞,['天津'],23:30,待定,T2,28
MU5144,未起飞,['哈尔滨'],23:30,待定,T2,28
MU5582,未起飞,['威海'],23:35,待定,T2,30
MU5690,未起飞,['呼和浩特'],23:40,待定,T1,9
FM9550,未起飞,['成都'],23:40,待定,T2,27
MU5158,未起飞,"['北京', '首都机场']",23:45,待定,T2,31
FM9426,未起飞,['重庆'],23:45,待定,T1,9
MU7786,未起飞,['信阳市'],23:50,待定,T2,31
FM9320,未起飞,['广州'],23:50,待定,T1,9
MU7786,未起飞,['重庆'],23:50,待定,T2,31
MU5160,未起飞,"['北京', '首都机场']",23:55,待定,T2,9
MU5362,未起飞,['深圳'],23:55,待定,T2,30
