航班,状态,目的地,预计到达,实际到达,航站楼,登机口
FM9361,未起飞,['长沙'],16:50,待定,T2,51
MU5119,未起飞,"['北京', '首都机场']",17:00,待定,T2,46
FM9116,未起飞,['厦门'],17:05,待定,T2,69
MU5353,未起飞,['深圳'],17:10,待定,T2,63
FM9501,未起飞,['揭阳'],17:10,待定,T2,33
MU5810,未起飞,['昆明'],17:15,待定,T2,72
MU5219,未起飞,['珠海'],17:15,待定,T2,68
FM9425,未起飞,['重庆'],17:20,待定,T2,54
MU5689,未起飞,['呼和浩特'],17:25,待定,T2,51
MU2405,未起飞,['太原'],17:25,待定,T2,74
FM9327,未起飞,['广州'],17:30,待定,T2,53
MU5157,未起飞,"['北京', '首都机场']",17:30,待定,T2,64
MU5517,未起飞,['哈尔滨'],17:50,待定,T2,54
MU5517,未起飞,['青岛'],17:50,待定,T2,54
MU5121,未起飞,"['北京', '首都机场']",18:00,待定,T2,48
MU2994,未起飞,['赣州'],18:00,待定,T2,65
MU2166,未起飞,['榆林'],18:05,待定,T2,62
MU2166,未起飞,['西安'],18:05,待定,T2,62
MU5209,未起飞,['揭阳'],18:15,待定,T2,71
MU5355,未起飞,['深圳'],18:30,待定,T2,53
FM9313,未起飞,['广州'],18:30,待定,T2,34
FM9363,未起飞,['武汉'],18:30,待定,T2,36
KN5956,未起飞,"['北京', '南苑机场']",18:40,待定,T2,69
MU5549,未起飞,['临沂'],18:40,待定,T2,73
FM9395,未起飞,['长沙'],18:45,待定,T2,54
MU5123,未起飞,"['北京', '首都机场']",19:00,待定,T2,40
MU5581,未起飞,['威海'],19:00,待定,T2,61
MU5579,未起飞,['福州'],19:00,待定,T2,23
MU5357,未起飞,['深圳'],19:05,待定,T2,32
MU5411,未起飞,['成都'],19:15,待定,T2,72
MU2168,未起飞,['西安'],19:30,待定,T2,63
MU5315,未起飞,['广州'],19:30,待定,T2,75
KN2218,未起飞,['天津'],19:30,待定,T2,66
MU5413,未起飞,['成都'],19:35,待定,T2,68
FM9321,未起飞,['郑州'],19:50,待定,T2,22
